Date,Customer_ID,,Quantity,Sales_Amount
3/1/2016,3226,,1,2.19
3/1/2016,2057,,1,5.12
3/1/2016,1906,,1,5.12
3/1/2016,1906,,1,4.81
3/1/2016,4022,,1,8.87
3/1/2016,4022,,1,22.18
3/1/2016,100,,1,8.32
3/1/2016,100,,1,4.81
3/1/2016,6918,,1,6.35
3/1/2016,6918,,1,8.87
3/1/2016,6918,,1,4.81
3/1/2016,7002,,1,5.73
3/1/2016,7002,,1,8.87
3/1/2016,7002,,1,10.43
3/1/2016,7002,,3,8.37
3/1/2016,3524,,1,10.98
3/1/2016,4289,,1,6.07
3/1/2016,5738,,1,6.75
3/1/2016,5738,,1,2
3/1/2016,8218,,1,8.18
3/1/2016,3065,,1,7.57
3/1/2016,2340,,1,10.98
3/1/2016,2767,,1,6
3/1/2016,275,,1,5.46
3/1/2016,5080,,1,7.43
3/1/2016,2649,,1,3.54
3/1/2016,2649,,1,8.38
3/1/2016,841,,2,11.73
3/1/2016,3317,,1,5.73
3/1/2016,6471,,1,5.12
3/1/2016,2978,,1,5.56
3/1/2016,6045,,1,8.12
3/1/2016,9157,,1,30.87
3/1/2016,4421,,1,4.91
3/1/2016,4421,,1,4.71
3/1/2016,4421,,1,4.09
3/1/2016,1862,,1,2.11
3/1/2016,1862,,2,2.13
3/1/2016,2132,,1,6.75
3/1/2016,2686,,1,4.02
3/1/2016,6325,,1,6.54
3/1/2016,6325,,1,8.32
3/1/2016,7945,,1,10.57
3/1/2016,6587,,1,6.27
3/1/2016,1660,,1,4.19
3/1/2016,1134,,1,7.43
3/1/2016,3645,,1,18.32
3/1/2016,9340,,1,6.4
4/1/2016,8356,,1,4.41
4/1/2016,8356,,1,8.37
4/1/2016,8356,,1,5.62
4/1/2016,8356,,1,7.29
4/1/2016,8858,,1,8.1
4/1/2016,8858,,2,5.73
4/1/2016,8858,,1,2.68
4/1/2016,8858,,2,7.62
4/1/2016,8858,,1,8.29
4/1/2016,8858,,1,7.43
4/1/2016,8858,,2,43.3
4/1/2016,8858,,1,10.37
4/1/2016,7304,,1,5.1
4/1/2016,5475,,1,2.15
4/1/2016,5475,,2,2.47
4/1/2016,5475,,1,8.18
4/1/2016,5475,,2,25.77
4/1/2016,5475,,2,4.66
4/1/2016,5475,,2,27.8
4/1/2016,5475,,2,2.47
4/1/2016,2400,,1,4.91
4/1/2016,2400,,1,4.09
4/1/2016,3530,,1,4.23
4/1/2016,3530,,1,3.44
4/1/2016,3530,,3,24.42
4/1/2016,1863,,1,5.97
4/1/2016,1863,,1,4
4/1/2016,1863,,1,2.84
4/1/2016,1863,,2,7.77
4/1/2016,1863,,1,5.19
4/1/2016,1863,,1,1.72
4/1/2016,1863,,3,10.85
4/1/2016,3006,,3,24.63
4/1/2016,9583,,1,6.35
4/1/2016,9583,,1,1.56
4/1/2016,7257,,1,7.23
4/1/2016,8636,,1,7.71
4/1/2016,3543,,1,10.98
4/1/2016,3543,,1,1.71
4/1/2016,3543,,1,10.25
4/1/2016,911,,1,9.88
4/1/2016,6192,,1,27.08
4/1/2016,6192,,1,9.4
4/1/2016,6192,,1,10.12
4/1/2016,6343,,1,8.46
4/1/2016,2883,,1,5.46
4/1/2016,2477,,1,1.9
4/1/2016,2477,,1,5.12
4/1/2016,6887,,1,2.13
4/1/2016,6723,,2,16.2
4/1/2016,6723,,1,3.3
