Business Name,City,State,ZIP,ZIP 4,Key Executive,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,NAICS,NAICS Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Business Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,Franchise Type
Ralphs,Compton,CA,90220,5186,President,Female,500,"36,500","$109,863,200 ",Los Angeles,"50,000 to 99,999",Los Angeles-Long Beach-Anaheim,33.87255,-118.241219,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Public,No,"50,000 or more",www.ralphs.com,No,,98,109863200,85472500,0,28.54,0,500,500,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
H-E-B Foods,San Antonio,TX,78204,1219,Chief Executive Officer,Male,205,605,"$108,309,702 ",Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.41788275,-98.49736738,Grocery Stores,Headquarters,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,1905,100,108309702,15396089800,0,-99.3,0,205,86000,,-99.76,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Jerry's Home Improvement,Eugene,OR,97402,9706,Chief Executive Officer,Male,550,,"$108,207,000 ",Lane,"100,000 to 249,999","Eugene-Springfield, OR",44.097812,-123.16784,"House Improvement, Remodeling, & Repairing Services",,,No,1521002,"House Improvement, Remodeling, & Repairing Services",236118,Residential Remodelers,No,100 to 499,Private,No,"50,000 or more",www.jerryshome.com,No,1961,100,108207000,108207000,108207000,0,0,550,550,550,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
H-E-B Foods,Weslaco,TX,78596,2700,Executive Officer,Female,666,"45,000","$105,453,774 ",Hidalgo,"25,000 to 49,999","McAllen-Edinburg-Mission, TX",26.16402813,-98.00667359,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,2006,100,105453774,105453774,105453774,0,0,666,666,666,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
H-E-B Foods,Katy,TX,77494,8100,Executive Officer,Male,545,"45,000","$104,719,570 ",Fort Bend,"Up to 24,999",Houston-The Woodlands-Sugar La,29.7132103,-95.7755669,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,2010,100,104719570,104719570,104719570,0,0,545,545,545,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
PetEdge,Topsfield,MA,1983,2215,Chief Executive Officer,Male,500,,"$102,141,900 ",Essex,"Up to 24,999","Boston-Cambridge-Newton, MA-NH",42.6333327,-70.9425842,Pet Food & Supply Stores,,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.petedge.com,No,1956,100,102141900,217463400,217463400,-53.03,-53.03,500,500,500,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Coastal Pet Products,Alliance,OH,44601,2792,Owner,Male,600,,"$98,364,240 ",Stark,"Up to 24,999","Canton-Massillon, OH",40.912231,-81.140115,Pet Food & Supply Stores,,,Yes,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.coastalpet.com,No,1968,100,98364240,98364240,52884000,0,86,600,600,600,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Safeway,Tracy,CA,95376,3727,Other Contacts,Female,499,"46,073","$95,976,163 ",San Joaquin,"50,000 to 99,999","Stockton, CA",37.740075,-121.4495361,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.safeway.com,No,,97,95976163,95976163,95976163,0,0,499,499,499,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",Chain Location
Drs. Foster and Smith Pet Supplies,Rhinelander,WI,54501,8425,Owner,Male,600,,"$95,217,120 ",Oneida,"Up to 24,999",,45.627246,-89.444464,Pet Food & Supply Stores,,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.drsfostersmith.com,No,1983,100,95217120,95217120,129515760,0,-26.48,600,600,600,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Merco Group Inc,Milwaukee,WI,53223,3847,Chief Financial Officer,Male,275,519,"$91,668,686 ",Milwaukee,"500,000 or more","Milwaukee-Waukesha, WI",43.157446,-88.012246,Pet Food & Supply Stores,Headquarters,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.generalpet.com,No,1959,100,91668686,48572040,103411440,88.73,-11.36,275,275,275,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
